,Actual,Prediction,Accuracy,ModelName,GridSearchParameters,GridSearchBestParameters,RunDate,RunTime
196,1,1,0,SVC,{},{},2022-05-02,03:35:32
197,0,0,0,SVC,{},{},2022-05-02,03:35:32
198,1,1,0,SVC,{},{},2022-05-02,03:35:32
199,0,0,0,SVC,{},{},2022-05-02,03:35:32
200,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
201,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
202,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
203,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
204,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
205,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
206,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
207,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
208,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
209,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
210,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
211,0,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
212,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
213,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
214,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
215,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
216,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
217,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
218,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
219,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
220,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
221,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
222,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
223,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
224,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
225,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
226,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
227,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
228,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
229,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
230,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
231,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
232,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
233,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
234,1,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
235,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
236,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
237,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
238,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
239,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
240,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
241,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
242,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
243,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
244,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
245,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
